country,coordinates,type,vei,year
Japan,"[31.93, 130.87]",Shield volcano,2.0,1970-01-01
Japan,"[42.07, 140.68]",Stratovolcano,4.0,1970-01-01
Guatemala,"[14.756, -91.552]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,3.0,1970-01-01
Indonesia,"[3.67, 125.5]",Stratovolcano,4.0,1970-01-01
Japan,"[36.92, 138.03]",Lava dome,2.0,1970-01-01
Philippines,"[12.77, 124.05]",Stratovolcano,2.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
United States,"[19.425, -155.292]",Shield volcano,1.0,1970-01-01
Japan,"[30.78, 130.28]",Caldera,7.0,1969-12-31
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,3.0,1970-01-01
Japan,"[31.58, 130.67]",Stratovolcano,5.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
Japan,"[33.13, 139.77]",Stratovolcano,2.0,1970-01-01
Iceland,"[64.63, -17.53]",Stratovolcano,2.0,1970-01-01
Iceland,"[64.63, -17.53]",Stratovolcano,2.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,2.0,1970-01-01
Japan,"[31.58, 130.67]",Stratovolcano,4.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,4.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,3.0,1970-01-01
Indonesia,"[1.108, 124.725]",Stratovolcano,2.0,1970-01-01
Indonesia,"[3.67, 125.5]",Stratovolcano,3.0,1970-01-01
Indonesia,"[0.32, 127.4]",Stratovolcano,4.0,1970-01-01
Papua New Guinea,"[-3.6, 144.85]",Stratovolcano,2.0,1970-01-01
Indonesia,"[0.8, 127.325]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.32, 121.708]",Stratovolcano,3.0,1970-01-01
Japan,"[31.58, 130.67]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-0.17, 121.608]",Stratovolcano,4.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.42, 116.47]",Stratovolcano,3.0,1970-01-01
Iceland,"[64.42, -17.33]",Caldera,3.0,1970-01-01
Ecuador,"[-0.171, -78.598]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,2.0,1970-01-01
United States,"[61.38, -141.75]",Stratovolcano,6.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,5.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,3.0,1970-01-01
Indonesia,"[-6.77, 107.6]",Stratovolcano,2.0,1970-01-01
Japan,"[42.07, 140.68]",Stratovolcano,4.0,1970-01-01
United States,"[59.37, -153.42]",Lava dome,4.0,1970-01-01
Japan,"[31.58, 130.67]",Stratovolcano,4.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,3.0,1970-01-01
Iceland,"[64.27, -16.65]",Stratovolcano,1.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,2.0,1970-01-01
Philippines,"[9.203, 124.673]",Stratovolcano,3.0,1970-01-01
